Num_c,SMILES,cid,iupac_name,molecular_weight,molecular_formula,complexity,rotatable_bond_count,heavy_atom_count,xlogp,Chloride_CAS,Bromide_CAS,Iodide_CAS,Fluoride_CAS
20,CCCCCCCCCCC[N+](CCC)(CCC)CCC,21869091.0,tripropyl(undecyl)azanium,298.6,,,,,,,,,
20,CCCCCCCCCC[N+](C)(C)CCCCCCCC,61907.0,decyl-dimethyl-octylazanium,298.6,C20H44N+,198.0,16.0,21.0,8.2,"32426-11-2, 251-035-5",138416-93-0,,
20,CCCCCCCCCC[N+](C)(CCC)CCCCCC,139745001.0,decyl-hexyl-methyl-propylazanium,298.6,C20H44N+,202.0,16.0,21.0,8.0,,,,
20,CCCCCCCCC[N+](C)(C)CCCCCCCCC,19706495.0,dimethyl-di(nonyl)azanium,298.6,C20H44N+,178.0,16.0,21.0,8.2,23375-64-6,861885-77-0,,
20,CCCCCCCCC[N+](C)(CC)CCCCCCCC,175528867.0,ethyl-methyl-nonyl-octylazanium,298.6,C20H44N+,202.0,16.0,21.0,8.0,,,,
20,CCCCCCCC[N+](C)(CCC)CCCCCCCC,52936837.0,methyl-dioctyl-propylazanium,298.6,C20H44N+,184.0,16.0,21.0,8.0,,,,
20,CCCCCCCC[N+](CC)(CC)CCCCCCCC,19602104.0,diethyl(dioctyl)azanium,298.6,C20H44N+,178.0,16.0,21.0,7.8,,94036-13-2,,
20,CCCCCCCC[N+](CCC)(CCC)CCCCCC,87492278.0,hexyl-octyl-dipropylazanium,298.6,C20H44N+,194.0,16.0,21.0,7.8,,,,
20,CCCCCCCC[N+](CCC)(CCCC)CCCCC,18317197.0,butyl-octyl-pentyl-propylazanium,298.6,,,,,,,,,
20,CCCCCCCC[N+](CCCC)(CCCC)CCCC,408233.0,tributyl(octyl)azanium,298.6,C20H44N+,178.0,16.0,21.0,7.9,,61175-80-2,39750-04-4,
20,CCCCCCC[N+](C)(CCCCCC)CCCCCC,175529579.0,heptyl-dihexyl-methylazanium,298.6,C20H44N+,188.0,16.0,21.0,7.8,,,,
20,CCCCCCC[N+](CCC)(CCC)CCCCCCC,87534339.0,diheptyl(dipropyl)azanium,298.6,C20H44N+,178.0,16.0,21.0,7.8,,,,
20,CCCCC[N+](CCC)(CCCCC)CCCCC(C)C,123559899.0,5-methylhexyl-dipentyl-propylazanium,298.6,C20H44N+,200.0,15.0,21.0,7.3,,,,
20,CCCCC[N+](CCCCC)(CCCCC)CCCCC,17249.0,tetrapentylazanium,298.6,C20H44N+,155.0,16.0,21.0,7.4,"4965-17-7, 225-606-4","866-97-7, 212-756-0","2498-20-6, 219-688-0",69468-58-2
20,CCCC[N+](CCCC)(CCCC)CCCCC(C)CC,161051619.0,tributyl(5-methylheptyl)azanium,298.6,C20H44N+,190.0,15.0,21.0,7.2,,,,
