SMILES,cid
CC(C)CCC[N+](C)(C)CCC(C)C,15636643.0
CC(C)C[N+](C)(CC(C)C)CC(C)C,11187184.0
CCCCC(C)C[N+](C)(CC)CCC,149590417.0
CCCCC(C)C[N+](CC)(CC)CC,154000463.0
CCCCCCCCCC[N+](C)(C)C,16389.0
CCCCCCCCC[N+](C)(C)CC,23088850.0
CCCCCCCC[N+](C)(C)CCC,54512768.0
CCCCCCCC[N+](C)(CC)CC,23148562.0
CCCCCCC[N+](C)(C)CCCC,23088855.0
CCCCCCC[N+](CC)(CC)CC,14389559.0
CCCCCC[N+](C)(C)CCC(C)C,159915856.0
CCCCCC[N+](C)(C)CCCCC,23088834.0
CCCCCC[N+](C)(CC)CCCC,57165305.0
CCCCCC[N+](C)(CCC)CCC,87508855.0
CCCCCC[N+](CC)(CC)CCC,153996761.0
CCCCC[N+](C)(C)CCCC(C)C,161625669.0
CCCCC[N+](C)(CC)CCCCC,57048141.0
CCCCC[N+](C)(CCC)CCCC,87508327.0
CCCCC[N+](CC)(CC)CCCC,118020623.0
CCCCC[N+](CC)(CCC)CCC,118020792.0
CCCC[N+](C)(C)CCCCC(C)C,157100786.0
CCCC[N+](C)(CCC)CC(C)(C)C,172207345.0
CCCC[N+](C)(CCCC)CCCC,36209.0
CCCC[N+](CC)(CCC)CCCC,5257973.0
CCCC[N+](CCC)(CCC)CCC,19180.0
CCC[N+](CCC)(CCC)CC(C)C,18761864.0
CC[N+](C)(CC(C)(C)C)CC(C)(C)C,126641745.0
CC[N+](CC)(CC)CCCCC(C)C,141658702.0
CC(C)CCC[N+](C)(C)CCCC(C)C,86159926.0
CCC(C)CCCC[N+](CC)(CC)CC,170310929.0
CCCCC(C)(C)C[N+](C)(C)CCCC,163469227.0
CCCCCCCCCCC[N+](C)(C)C,5228566.0
CCCCCCCCCC[N+](C)(C)CC,9974561.0
CCCCCCCCC[N+](C)(C)CCC,54218218.0
CCCCCCCCC[N+](C)(CC)CC,157866804.0
CCCCCCCC[N+](C)(C)CCCC,86022633.0
CCCCCCCC[N+](CC)(CC)CC,11411485.0
CCCCCCC[N+](C)(C)CCC(C)C,159915857.0
CCCCCCC[N+](C)(C)CCCCC,87493941.0
CCCCCCC[N+](C)(CC)CCCC,146418800.0
CCCCCC[N+](C)(C)CCCC(C)C,161625670.0
CCCCCC[N+](C)(C)CCCCCC,158284.0
CCCCCC[N+](C)(CC)CCCCC,87508057.0
CCCCCC[N+](C)(CCC)CCCC,87507944.0
CCCCCC[N+](CC)(CC)CCCC,153996762.0
CCCCCC[N+](CC)(CCC)CCC,153959332.0
CCCCC[N+](C)(C)CCCCC(C)C,157100787.0
CCCCC[N+](C)(CCC)CCC(C)C,164088703.0
CCCCC[N+](C)(CCC)CCCCC,87509148.0
CCCCC[N+](C)(CCCC)CCCC,21452154.0
CCCCC[N+](CC)(CC)CCCCC,87534181.0
CCCCC[N+](CC)(CCC)CCCC,71366278.0
CCCCC[N+](CCC)(CCC)CCC,20376265.0
CCCC[N+](C)(CCCC)CC(C)CC,166723465.0
CCCC[N+](CC)(CCCC)CC(C)C,87480563.0
CCCC[N+](CC)(CCCC)CCCC,44528.0
CCCC[N+](CCC)(CCC)CCCC,20480844.0
CC[N+](CC(C)C)(CC(C)C)CC(C)C,117974310.0
CC[N+](CC)(CC)CCCCCC(C)C,152651073.0
CCC(C)CC[N+](C)(CC)CCCC(C)C,123408627.0
CCCCCC(C)C[N+](C)(C)CC(C)CC,123829284.0
CCCCCCCCCCCC[N+](C)(C)C,8153.0
CCCCCCCCCCC[N+](C)(C)CC,90351725.0
CCCCCCCCCC[N+](C)(C)CCC,17915707.0
CCCCCCCCCC[N+](C)(CC)CC,10450839.0
CCCCCCCCC[N+](C)(C)CCCC,87493295.0
CCCCCCCCC[N+](CC)(CC)CC,2249305.0
CCCCCCCC[N+](C)(C)CCC(C)C,159915858.0
CCCCCCCC[N+](C)(C)CCCCC,71346400.0
CCCCCCCC[N+](C)(CC)CCCC,53833324.0
CCCCCCCC[N+](C)(CCC)CCC,143162850.0
CCCCCCC[N+](C)(C)CCCC(C)C,161625671.0
CCCCCCC[N+](C)(C)CCCCCC,23094264.0
CCCCCCC[N+](CC)(CC)CCCC,87526431.0
CCCCCCC[N+](CC)(CCC)CCC,87089434.0
CCCCCC[N+](C)(C)CCCCC(C)C,153568186.0
CCCCCC[N+](C)(CC(C)C)CC(C)C,176583041.0
CCCCCC[N+](C)(CC)CCCCCC,87507678.0
CCCCCC[N+](C)(CCC)CCCCC,87507746.0
CCCCCC[N+](C)(CCCC)CCCC,23088868.0
CCCCCC[N+](CC)(CC)CCCCC,175075511.0
CCCCCC[N+](CC)(CCC)CCCC,153959333.0
CCCCCC[N+](CCC)(CCC)CCC,20376280.0
CCCCC[N+](C)(CCCC)CCCCC,54255437.0
CCCCC[N+](CC)(CCC)CCCCC,118020676.0
CCCCC[N+](CC)(CCCC)CCCC,118020723.0
CCCCC[N+](CCC)(CCC)CCCC,87492071.0
CCCC[N+](C)(CCCC)CC(C)CCC,153210369.0
CCCC[N+](CCC)(CCCC)CC(C)C,148152475.0
CCCC[N+](CCC)(CCCC)CCCC,5248503.0
CC(C)(C)C[N+](C)(CC(C)(C)C)CC(C)(C)C,25069002.0
CC(C)CC[N+](C)(CCC(C)C)CCC(C)C,59019034.0
CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C,13726126.0
CCCC(C)CCC[N+](C)(CC)CC(C)CC,123793064.0
CCCCCCCCCCCCC[N+](C)(C)C,11484094.0
CCCCCCCCCCCC[N+](C)(C)CC,62471.0
CCCCCCCCCCC[N+](C)(C)CCC,54067909.0
CCCCCCCCCC[N+](C)(C)CC(C)C,153847355.0
CCCCCCCCCC[N+](C)(C)CCCC,57255541.0
CCCCCCCCCC[N+](CC)(CC)CC,9835339.0
CCCCCCCCC[N+](C)(C)CCC(C)C,159915859.0
CCCCCCCCC[N+](C)(C)CCCCC,87493818.0
CCCCCCCCC[N+](C)(CC)CCCC,159414620.0
CCCCCCCC[N+](C)(C)CCCC(C)C,161625672.0
CCCCCCCC[N+](C)(C)CCCCCC,44630345.0
CCCCCCCC[N+](C)(CC)CCCCC,123637971.0
CCCCCCCC[N+](C)(CCC)CCCC,141640656.0
CCCCCCCC[N+](CC)(CC)CCCC,127262847.0
CCCCCCC[N+](C)(C)CCCCC(C)C,157100788.0
CCCCCCC[N+](C)(C)CCCCCCC,17912687.0
CCCCCCC[N+](C)(CC)CCCCCC,175528723.0
CCCCCCC[N+](C)(CCC)CCCCC,71382092.0
CCCCCCC[N+](C)(CCCC)CCCC,150372540.0
CCCCCCC[N+](CCC)(CCC)CCC,20266119.0
CCCCCC[N+](C)(CCC)CCCCCC,58935187.0
CCCCCC[N+](C)(CCCC)CCCCC,87508904.0
CCCCCC[N+](CC)(CC)CCCCCC,20092195.0
CCCCCC[N+](CC)(CCCC)CCCC,151792739.0
