Index,Num_c,SMILES,cid,iupac_name,molecular_weight,molecular_formula,complexity,rotatable_bond_count,heavy_atom_count,xlogp,Chloride_CAS,Bromide_CAS,Iodide_CAS,Fluoride_CAS
0038,10,CCC(C)CC[N+](C)(C)CC,147254608.0,ethyl-dimethyl-(3-methylpentyl)azanium,158.3,C10H24N+,97.0,5.0,11.0,2.9,,,,
0039,10,CCC(C)C[N+](C)(CC)CC,,,,,,,,,,,,
0040,10,CCCC(C)(C)C[N+](C)(C)C,152646893.0,"2,2-dimethylpentyl(trimethyl)azanium",158.3,,,,,,,,,
0041,10,CCCC(C)CC[N+](C)(C)C,19880246.0,trimethyl(3-methylhexyl)azanium,158.3,C10H24N+,91.0,5.0,11.0,3.1,,,,
0042,10,CCCC(C)C[N+](C)(C)CC,169831593.0,ethyl-dimethyl-(2-methylpentyl)azanium,158.3,,,,,,,,,
0043,10,CCCCC(C)C[N+](C)(C)C,13110426.0,trimethyl(2-methylhexyl)azanium,158.3,C10H24N+,91.0,5.0,11.0,3.1,,,,
0044,10,CCCCCCC[N+](C)(C)C,30142.0,heptyl(trimethyl)azanium,158.3,C10H24N+,81.0,6.0,11.0,3.7,,,,
0045,10,CCCCCC[N+](C)(C)CC,11593475.0,ethyl-hexyl-dimethylazanium,158.3,C10H24N+,86.0,6.0,11.0,3.0,,,,
0046,10,CCCCC[N+](C)(C)CCC,23088871.0,dimethyl-pentyl-propylazanium,158.3,C10H24N+,86.0,6.0,11.0,3.0,,,,
0047,10,CCCCC[N+](C)(CC)CC,23088876.0,diethyl-methyl-pentylazanium,158.3,C10H24N+,84.0,6.0,11.0,2.8,,,,
0048,10,CCCC[N+](C)(C)CC(C)C,22044341.0,butyl-dimethyl-(2-methylpropyl)azanium,158.3,,,,,,,,,
0049,10,CCCC[N+](C)(C)CCCC,18615673.0,dibutyl(dimethyl)azanium,158.3,C10H24N+,76.0,6.0,11.0,2.8,,115984-63-9,61134-94-9,
