Index,Num_c,SMILES,mol_weight,xlogp,num_rotatable_bonds,bertz_ct,HOMO,LUMO,gap,predicted_gap
54,10,CCC[N+](C)(CCC)CCC,158.31,3.0,10,67.02,-11.366,-2.812,8.554,8.310507774353027
55,10,CCC[N+](CC)(CC)CCC,158.31,2.8,10,72.04,-11.307,-2.773,8.534,8.400760650634766
56,10,CC[N+](C)(C)CCCC(C)C,158.31,2.7,10,90.21,-10.403,-3.192,7.211,7.419427871704102
57,10,CC[N+](C)(CC)CCC(C)C,158.31,2.7,10,88.21,-10.63,-3.023,7.607,7.655241966247559
58,10,CC[N+](CC)(CC)CC(C)C,158.31,2.7,10,79.95,-11.148,-2.742,8.406,8.27442741394043
59,11,CC(C)CCCCC[N+](C)(C)C,172.34,3.4,11,95.1,-9.476,-3.435,6.041,6.645551681518555
60,11,CC(C)CC[N+](C)(C)CC(C)C,172.34,3.3,11,109.21,-10.562,-3.0,7.562,7.629347324371338
61,11,CCC(C)C(C)(C)C[N+](C)(C)C,172.34,3.3,11,125.46,-10.29,-3.375,6.915,7.124028205871582
62,11,CCC(C)CC[N+](C)(CC)CC,172.34,3.2,11,100.61,-10.252,-2.825,7.427,7.449984550476074
63,11,CCC(C)C[N+](C)(C)CC(C)C,172.34,3.3,11,111.21,-10.727,-3.136,7.591,7.602805137634277
64,11,CCC(C)C[N+](CC)(CC)CC,172.34,3.1,11,92.34,-10.752,-2.679,8.073,7.916486740112305
65,11,CCCC(C)(C)C[N+](C)(C)CC,172.34,3.3,11,120.0,-10.353,-3.101,7.252,7.311707973480225
66,11,CCCC(C)CCC[N+](C)(C)C,172.34,3.4,11,97.1,-9.602,-3.394,6.208,6.506531238555908
67,11,CCCCC(C)(C)C[N+](C)(C)C,172.34,3.4,11,114.49,-9.945,-3.382,6.563,6.903268814086914
68,11,CCCCC(C)CC[N+](C)(C)C,172.34,3.6,11,97.1,-9.709,-3.351,6.358,6.634784698486328
69,11,CCCCCC(C)C[N+](C)(C)C,172.34,3.6,11,97.1,-9.546,-3.359,6.187,6.471304893493652
70,11,CCCCCCCC[N+](C)(C)C,172.34,4.2,11,86.7,-9.388,-3.379,6.009,6.358600616455078
71,11,CCCCCCC[N+](C)(C)CC,172.34,3.5,11,92.21,-9.547,-3.152,6.395,6.6955647468566895
72,11,CCCCCC[N+](C)(C)CCC,172.34,3.5,11,92.21,-10.016,-3.049,6.967,7.238745212554932
73,11,CCCCCC[N+](C)(CC)CC,172.34,3.3,11,90.21,-10.544,-3.278,7.266,7.4613800048828125
74,11,CCCCC[N+](C)(C)CCCC,172.34,3.3,11,92.21,-10.315,-3.054,7.261,7.4901933670043945
75,11,CCCCC[N+](C)(CC)CCC,172.34,3.3,11,96.21,-10.289,-2.914,7.375,7.560525894165039
76,11,CCCCC[N+](CC)(CC)CC,172.34,3.2,11,81.95,-10.265,-2.744,7.521,7.692045211791992
77,11,CCCC[N+](C)(C)CC(C)(C)C,172.34,3.3,7,114.49,-10.761,-3.112,7.649,7.696317672729492
78,11,CCCC[N+](C)(C)CC(C)CC,172.34,3.2,11,102.61,-10.797,-3.12,7.677,7.662117004394531
79,11,CCCC[N+](C)(C)CCC(C)C,172.34,3.2,11,100.61,-10.601,-3.052,7.549,7.501138687133789
80,11,CCCC[N+](C)(CC)CCCC,172.34,3.1,11,86.21,-10.787,-2.757,8.03,7.886988639831543
81,11,CCCC[N+](C)(CCC)CCC,172.34,3.3,11,88.21,-10.771,-2.938,7.833,7.86589241027832
82,11,CCCC[N+](CC)(CC)CCC,172.34,3.2,11,90.21,-10.774,-2.742,8.032,8.08022689819336
83,11,CCC[N+](C)(C)CCC(C)CC,172.34,3.4,11,102.61,-10.264,-3.078,7.186,7.383614540100098
84,11,CCC[N+](C)(C)CCCC(C)C,172.34,3.2,11,100.61,-10.169,-3.005,7.164,7.345946311950684
85,11,CCC[N+](C)(CC)CC(C)CC,172.34,3.2,11,106.61,-10.732,-2.931,7.801,7.884652137756348
86,11,CCC[N+](C)(CC)CCC(C)C,172.34,3.2,11,104.61,-10.592,-2.951,7.641,7.726384162902832
87,11,CCC[N+](CC)(CCC)CCC,172.34,3.3,11,77.19,-10.573,-2.849,7.724,8.300700187683105
88,11,CC[N+](C)(CC(C)C)CC(C)C,172.34,3.3,11,101.21,-11.078,-2.875,8.203,7.910419464111328
89,11,CC[N+](C)(CC)CCCC(C)C,172.34,3.1,11,98.61,-10.132,-3.015,7.117,7.316801071166992
90,11,CC[N+](CC)(CC)CC(C)(C)C,172.34,3.1,7,104.23,-10.924,-2.783,8.141,8.264567375183105
91,11,CC[N+](CC)(CC)CCC(C)C,172.34,3.1,11,90.34,-10.589,-2.895,7.694,7.828398704528809
92,12,CC(C)(C)C[N+](C)(C)CC(C)(C)C,186.36,3.7,4,131.86,-10.868,-3.196,7.672,7.609653472900391
93,12,CC(C)CCC[N+](C)(C)CC(C)C,186.36,3.7,12,120.0,-10.207,-3.047,7.16,7.491517543792725
94,12,CC(C)CC[N+](C)(C)CCC(C)C,186.36,3.7,12,106.0,-10.551,-2.971,7.58,7.545924663543701
95,12,CCC(C)(C)C[N+](CC)(CC)CC,186.36,3.5,12,120.71,-10.491,-2.758,7.733,7.711198806762695
96,12,CCC(C)CC[N+](CC)(CC)CC,186.36,3.6,12,102.94,-10.194,-2.701,7.493,7.541899681091309
97,12,CCC(C)C[N+](C)(C)CC(C)(C)C,186.36,3.7,8,136.61,-10.674,-3.196,7.478,7.618768692016602
98,12,CCC(C)C[N+](C)(C)CC(C)CC,186.36,3.7,12,110.0,-10.687,-3.033,7.654,7.525973320007324
99,12,CCCCC(C)CC[N+](C)(C)CC,186.36,4.0,12,113.21,-9.532,-3.083,6.449,6.647121429443359
100,12,CCCCCCCCC[N+](C)(C)C,186.36,5.0,12,97.1,-9.096,-3.375,5.721,6.343805313110352
101,12,CCCCCCCC[N+](C)(C)CC,186.36,4.1,12,102.61,-9.542,-3.593,5.949,6.400040149688721
102,12,CCCCCCC[N+](C)(C)CCC,186.36,4.0,12,102.61,-9.5,-3.067,6.433,6.6389360427856445
103,12,CCCCCCC[N+](C)(CC)CC,186.36,3.9,12,100.61,-9.519,-2.829,6.69,6.751280784606934
