Index,Num_c,SMILES,mol_weight,xlogp,num_rotatable_bonds,bertz_ct,HOMO,LUMO,gap,predicted_gap
1,4,C[N+](C)(C)C,74.15,0.3,4,15.51,-14.484,-4.388,10.096,10.519669532775879
2,5,CC[N+](C)(C)C,88.17,0.6,5,29.79,-13.127,-4.076,9.051,9.2879638671875
3,6,CCC[N+](C)(C)C,102.2,1.2,6,38.49,-12.057,-3.997,8.06,8.293606758117676
4,6,CC[N+](C)(C)CC,102.2,1.0,6,38.0,-12.792,-3.77,9.022,9.174224853515625
5,7,CC(C)C[N+](C)(C)C,116.23,1.6,7,54.93,-11.44,-3.464,7.976,7.904549598693848
6,7,CCCC[N+](C)(C)C,116.23,1.5,7,47.55,-11.361,-3.935,7.426,7.392295837402344
7,7,CCC[N+](C)(C)CC,116.23,1.5,7,53.06,-11.959,-3.698,8.261,8.429017066955566
8,7,CC[N+](C)(CC)CC,116.23,1.4,7,42.79,-12.573,-3.458,9.115,9.196672439575195
9,8,CC(C)(C)C[N+](C)(C)C,130.25,2.0,4,65.19,-11.167,-3.493,7.674,7.945928573608398
10,8,CC(C)CC[N+](C)(C)C,130.25,2.0,8,64.6,-10.732,-3.419,7.313,7.186063766479492
11,8,CCC(C)C[N+](C)(C)C,130.25,2.0,8,66.6,-10.987,-3.52,7.467,7.62321662902832
12,8,CCCCC[N+](C)(C)C,130.25,2.1,8,56.93,-10.629,-3.918,6.711,6.933472633361816
13,8,CCCC[N+](C)(C)CC,130.25,1.9,8,62.44,-11.211,-3.644,7.567,7.662405967712402
14,8,CCC[N+](C)(C)CCC,130.25,2.1,8,54.44,-11.848,-3.621,8.227,8.16785717010498
15,8,CCC[N+](C)(CC)CC,130.25,1.9,8,60.44,-11.858,-3.388,8.47,8.516397476196289
16,8,CC[N+](C)(C)CC(C)C,130.25,2.0,8,70.11,-11.351,-3.211,8.14,7.942374229431152
17,8,CC[N+](CC)(CC)CC,130.25,1.7,8,42.93,-12.277,-3.317,8.96,9.109603881835938
18,9,CC(C)CCC[N+](C)(C)C,144.28,2.3,9,74.53,-10.471,-3.444,7.027,7.08297061920166
19,9,CCC(C)(C)C[N+](C)(C)C,144.28,2.4,9,93.1,-10.717,-3.395,7.322,7.493853569030762
20,9,CCC(C)CC[N+](C)(C)C,144.28,2.5,9,76.53,-10.33,-3.382,6.948,7.041475296020508
21,9,CCC(C)C[N+](C)(C)CC,144.28,2.3,9,82.04,-11.271,-3.555,7.716,7.602243423461914
22,9,CCCC(C)C[N+](C)(C)C,144.28,2.5,9,76.53,-10.399,-3.429,6.97,7.270390033721924
23,9,CCCCCC[N+](C)(C)C,144.28,2.6,9,66.6,-10.338,-3.886,6.452,6.7232770919799805
24,9,CCCCC[N+](C)(C)CC,144.28,2.4,9,72.11,-10.672,-3.618,7.054,7.140013694763184
25,9,CCCC[N+](C)(C)CCC,144.28,2.4,9,72.11,-11.361,-3.59,7.771,7.869072914123535
26,9,CCCC[N+](C)(CC)CC,144.28,2.3,9,70.11,-11.381,-3.456,7.925,7.934919357299805
27,9,CCC[N+](C)(C)CC(C)C,144.28,2.5,9,80.04,-11.25,-3.139,8.111,7.949268341064453
28,9,CCC[N+](C)(CC)CCC,144.28,2.4,9,68.11,-11.77,-3.483,8.287,8.528773307800293
29,9,CCC[N+](CC)(CC)CC,144.28,2.3,9,61.84,-11.441,-3.007,8.434,8.519375801086426
30,9,CC[N+](C)(C)CC(C)(C)C,144.28,2.4,5,93.1,-11.076,-3.25,7.826,7.923079490661621
31,9,CC[N+](C)(C)CCC(C)C,144.28,2.3,9,80.04,-10.822,-3.153,7.669,7.727502822875977
32,9,CC[N+](C)(CC)CC(C)C,144.28,2.3,9,78.04,-11.27,-2.931,8.339,8.25033950805664
