Index,Num_c,SMILES,cid
150,12,CCCCC[N+](C)(C)CCCCC,11149782.0
152,12,CCCCC[N+](C)(CC)CCCC,87508333.0
153,12,CCCCC[N+](C)(CCC)CCC,23088840.0
154,12,CCCCC[N+](CC)(CC)CCC,23088853.0
158,12,CCCC[N+](C)(C)CCCC(C)C,15636637.0
162,12,CCCC[N+](C)(CCC)CC(C)C,20341239.0
163,12,CCCC[N+](C)(CCC)CCCC,87508941.0
165,12,CCCC[N+](CC)(CC)CCCC,45730.0
166,12,CCCC[N+](CC)(CCC)CCC,87824094.0
169,12,CCC[N+](C)(C)CCCCC(C)C,157100785.0
175,12,CCC[N+](C)(CCC)CC(C)CC,139247008.0
179,12,CCC[N+](CC)(CC)CCC(C)C,177124330.0
180,12,CCC[N+](CC)(CCC)CC(C)C,87478720.0
181,12,CCC[N+](CCC)(CCC)CCC,9559.0
187,12,CC[N+](CC)(CC(C)C)CC(C)C,117974218.0
188,12,CC[N+](CC)(CC)CCCC(C)C,122449059.0
191,13,CC(C)CCC[N+](C)(C)CCC(C)C,15636643.0
193,13,CC(C)C[N+](C)(CC(C)C)CC(C)C,11187184.0
231,13,CCCCC(C)C[N+](C)(CC)CCC,149590417.0
232,13,CCCCC(C)C[N+](CC)(CC)CC,154000463.0
235,13,CCCCCCCCCC[N+](C)(C)C,16389.0
236,13,CCCCCCCCC[N+](C)(C)CC,23088850.0
237,13,CCCCCCCC[N+](C)(C)CCC,54512768.0
238,13,CCCCCCCC[N+](C)(CC)CC,23148562.0
240,13,CCCCCCC[N+](C)(C)CCCC,23088855.0
242,13,CCCCCCC[N+](CC)(CC)CC,14389559.0
245,13,CCCCCC[N+](C)(C)CCC(C)C,159915856.0
246,13,CCCCCC[N+](C)(C)CCCCC,23088834.0
248,13,CCCCCC[N+](C)(CC)CCCC,57165305.0
249,13,CCCCCC[N+](C)(CCC)CCC,87508855.0
250,13,CCCCCC[N+](CC)(CC)CCC,153996761.0
254,13,CCCCC[N+](C)(C)CCCC(C)C,161625669.0
258,13,CCCCC[N+](C)(CC)CCCCC,57048141.0
260,13,CCCCC[N+](C)(CCC)CCCC,87508327.0
262,13,CCCCC[N+](CC)(CC)CCCC,118020623.0
263,13,CCCCC[N+](CC)(CCC)CCC,118020792.0
268,13,CCCC[N+](C)(C)CCCCC(C)C,157100786.0
274,13,CCCC[N+](C)(CCC)CC(C)(C)C,172207345.0
278,13,CCCC[N+](C)(CCCC)CCCC,36209.0
283,13,CCCC[N+](CC)(CCC)CCCC,5257973.0
284,13,CCCC[N+](CCC)(CCC)CCC,19180.0
304,13,CCC[N+](CCC)(CCC)CC(C)C,18761864.0
305,13,CC[N+](C)(CC(C)(C)C)CC(C)(C)C,126641745.0
312,13,CC[N+](CC)(CC)CCCCC(C)C,141658702.0
318,14,CC(C)CCC[N+](C)(C)CCCC(C)C,86159926.0
330,14,CCC(C)CCCC[N+](CC)(CC)CC,170310929.0
376,14,CCCCC(C)(C)C[N+](C)(C)CCCC,163469227.0
394,14,CCCCCCCCCCC[N+](C)(C)C,5228566.0
395,14,CCCCCCCCCC[N+](C)(C)CC,9974561.0
396,14,CCCCCCCCC[N+](C)(C)CCC,54218218.0
397,14,CCCCCCCCC[N+](C)(CC)CC,157866804.0
399,14,CCCCCCCC[N+](C)(C)CCCC,86022633.0
401,14,CCCCCCCC[N+](CC)(CC)CC,11411485.0
404,14,CCCCCCC[N+](C)(C)CCC(C)C,159915857.0
405,14,CCCCCCC[N+](C)(C)CCCCC,87493941.0
407,14,CCCCCCC[N+](C)(CC)CCCC,146418800.0
413,14,CCCCCC[N+](C)(C)CCCC(C)C,161625670.0
414,14,CCCCCC[N+](C)(C)CCCCCC,158284.0
418,14,CCCCCC[N+](C)(CC)CCCCC,87508057.0
420,14,CCCCCC[N+](C)(CCC)CCCC,87507944.0
422,14,CCCCCC[N+](CC)(CC)CCCC,153996762.0
423,14,CCCCCC[N+](CC)(CCC)CCC,153959332.0
429,14,CCCCC[N+](C)(C)CCCCC(C)C,157100787.0
437,14,CCCCC[N+](C)(CCC)CCC(C)C,164088703.0
438,14,CCCCC[N+](C)(CCC)CCCCC,87509148.0
440,14,CCCCC[N+](C)(CCCC)CCCC,21452154.0
444,14,CCCCC[N+](CC)(CC)CCCCC,87534181.0
446,14,CCCCC[N+](CC)(CCC)CCCC,71366278.0
447,14,CCCCC[N+](CCC)(CCC)CCC,20376265.0
465,14,CCCC[N+](C)(CCCC)CC(C)CC,166723465.0
475,14,CCCC[N+](CC)(CCCC)CC(C)C,87480563.0
476,14,CCCC[N+](CC)(CCCC)CCCC,44528.0
478,14,CCCC[N+](CCC)(CCC)CCCC,20480844.0
511,14,CC[N+](CC(C)C)(CC(C)C)CC(C)C,117974310.0
513,14,CC[N+](CC)(CC)CCCCCC(C)C,152651073.0
